date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:48:52	376/376	---M--	200	added ('OK')	text/plain	date:Sat,%2029%20Oct%202022%2010:19:43%20GMT	https://www.berlin-athletic.com/robots.txt		(from )
15:48:53	697116/697116	---MCZ	200	added ('OK')	text/html	etag:W/%224e9814aa0573b74fd976df41c6eff2ba%22	https://www.berlin-athletic.com/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day9/Web43/Site43/www.berlin-athletic.com/index.html	(from )
15:48:53	1658/1658	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Oct%202022%2010:10:01%20GMT	https://static.wixstatic.com/media/313907_a15fdc9d17ff417780afc4e8b469ad96.png/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/313907_a15fdc9d17ff417780afc4e8b469ad96.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day9/Web43/Site43/static.wixstatic.com/media/313907_a15fdc9d17ff417780afc4e8b469ad96.png/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/313907_a15fdc9d17ff417780afc4e8b469ad96.png	(from https://www.berlin-athletic.com/)
15:48:53	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day9/Web43/Site43/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.berlin-athletic.com/)
15:48:54	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day9/Web43/Site43/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.berlin-athletic.com/)
15:48:54	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2026%20Oct%202022%2016:31:53%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day9/Web43/Site43/polyfill.io/v3/polyfill.mind82c.js	(from https://www.berlin-athletic.com/)
15:48:54	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day9/Web43/Site43/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://www.berlin-athletic.com/)
15:48:55	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:19:46%20GMT	https://www.berlin-athletic.com/decodeURIComponent(e	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day9/Web43/Site43/www.berlin-athletic.com/decodeURIComponent(e.5.delayed	(from https://www.berlin-athletic.com/)
15:48:57	251/251	---M--	200	added ('OK')	text/xml	date:Sat,%2029%20Oct%202022%2010:19:48%20GMT	https://www.berlin-athletic.com/sitemap.xml	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day9/Web43/Site43/www.berlin-athletic.com/sitemap.xml	(from https://www.berlin-athletic.com/)
15:48:57	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:19:48%20GMT	https://www.berlin-athletic.com/feed.xml	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day9/Web43/Site43/www.berlin-athletic.com/feed.7.delayed	(from https://www.berlin-athletic.com/)
15:48:57	90316/90316	---M-Z	200	added ('OK')	application/javascript	etag:W/%229ecd1d6eae0ad89fe0948e04cbb4eedb%22	https://static.parastorage.com/services/wix-thunderbolt/dist/ab-test-compilation/thunderbolt-commons.7ca534fa.bundle.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day9/Web43/Site43/static.parastorage.com/services/wix-thunderbolt/dist/ab-test-compilation/thunderbolt-commons.7ca534fa.bundle.min.js	(from https://www.berlin-athletic.com/)
15:48:58	171637/171637	---M-Z	200	added ('OK')	application/javascript	etag:W/%2246b9d4ddc65f6e9e57211e2a070f0fd1%22	https://static.parastorage.com/services/wix-thunderbolt/dist/ab-test-compilation/main.c16c2c7f.bundle.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day9/Web43/Site43/static.parastorage.com/services/wix-thunderbolt/dist/ab-test-compilation/main.c16c2c7f.bundle.min.js	(from https://www.berlin-athletic.com/)
15:48:58	73015/73015	---M-Z	200	added ('OK')	application/javascript	etag:W/%229becc40fb1d85d21d0ca38e2f7069511%22	https://static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day9/Web43/Site43/static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	(from https://www.berlin-athletic.com/)
